user,subfolder,decision,rationale
bailey-s,sent_items,INCLUDED,Primary sent mail — standard business email
bass-e,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
bass-e,calendar,CONTENT-MISMATCH,Calendar entries — not email
bass-e,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
bass-e,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
bass-e,drafts,SYSTEM,Draft emails — not delivered
bass-e,entex,INCLUDED,Entex operations correspondence
bass-e,ffl,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bass-e,funny,INCLUDED,Humour emails — legitimate ham
bass-e,inbox,INCLUDED,Primary received mail — standard business email
bass-e,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
bass-e,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
bass-e,sent,INCLUDED,Sent mail variant — standard business email
bass-e,sent_items,INCLUDED,Primary sent mail — standard business email
bass-e,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
baughman-d,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
baughman-d,calendar,CONTENT-MISMATCH,Calendar entries — not email
baughman-d,contacts,CONTENT-MISMATCH,Address book — not email
baughman-d,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
baughman-d,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
baughman-d,ect_admin,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
baughman-d,enron_power,INCLUDED,Enron Power operations
baughman-d,inbox,INCLUDED,Primary received mail — standard business email
baughman-d,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
baughman-d,power,INCLUDED,Power trading and operations
baughman-d,sent_items,INCLUDED,Primary sent mail — standard business email
baughman-d,so2___nox,INCLUDED,SO2/NOx emissions trading — business
baughman-d,tasks,CONTENT-MISMATCH,Task list entries — not email
baughman-d,to_do,CONTENT-MISMATCH,To-do list — not email
baughman-d,ubsw_energy,INCLUDED,UBS Warburg Energy — counterparty correspondence
beck-s,2001_plan,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,aec,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
beck-s,analyst_assoc_program,PII/LEGAL,Analyst programme records — sensitive PII
beck-s,apollo__beth,PII/LEGAL,Named individual folder — personal PII
beck-s,approval_authorizations,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,ase,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,australia,INCLUDED,Australia operations business correspondence
beck-s,book_administrators,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,bridgeline,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,brm,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,calendar,CONTENT-MISMATCH,Calendar entries — not email
beck-s,causey__rick,PII/LEGAL,Named executive folder — sensitive PII
beck-s,chicago,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,clickpaper,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,commercialization,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,commoditylogic,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,compensation,PII/LEGAL,Salary/compensation data — sensitive PII
beck-s,congratulations,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,contacts,CONTENT-MISMATCH,Address book — not email
beck-s,cousino__lisa,PII/LEGAL,Named individual folder — personal PII
beck-s,curve_validation,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,delainey__dave,PII/LEGAL,Named executive folder — sensitive PII
beck-s,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
beck-s,direct_rpts,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
beck-s,doorstep,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,dpr,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,ebs,INCLUDED,EBS broadband operations
beck-s,ees,INCLUDED,Enron Energy Services operational correspondence
beck-s,egm,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,eim,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,entelligence,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,eol,INCLUDED,EOL trading platform — business
beck-s,eol_access,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,eott,INCLUDED,EOTT operations — business
beck-s,ernie_training,PII/LEGAL,Named system training — HR artefact
beck-s,europe,INCLUDED,European operations
beck-s,expense_reports,PII/LEGAL,Personal expense reports — financial PII
beck-s,floorspace,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,frevert__mark,PII/LEGAL,Named executive folder — sensitive PII
beck-s,gbn,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,global,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,glover__sheila,PII/LEGAL,Named individual folder — personal PII
beck-s,gossett__jeff,PII/LEGAL,Named individual folder — personal PII
beck-s,hall__bob,PII/LEGAL,Named individual folder — personal PII
beck-s,hall__todd,PII/LEGAL,Named individual folder — personal PII
beck-s,hedstrom__peggy,PII/LEGAL,Named individual folder — personal PII
beck-s,herod__brenda,PII/LEGAL,Named individual folder — personal PII
beck-s,hopwood__tom,PII/LEGAL,Named individual folder — personal PII
beck-s,hpl,INCLUDED,HPL pipeline operations
beck-s,hr,PII/LEGAL,HR records — sensitive PII
beck-s,inbox,INCLUDED,Primary received mail — standard business email
beck-s,inclement_weather_list,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,india,INCLUDED,India operations business correspondence
beck-s,it___misc_,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,japan,INCLUDED,Japan operations business correspondence
beck-s,kitchen__louise,PII/LEGAL,Named individual folder — personal PII
beck-s,lavorato__john,PII/LEGAL,Named executive folder — sensitive PII
beck-s,leadership_development,PII/LEGAL,Leadership programme — HR sensitive
beck-s,legal,PII/LEGAL,Legal correspondence — litigation sensitive
beck-s,lng,INCLUDED,LNG trading and operations correspondence
beck-s,melodick__kim,PII/LEGAL,Named individual folder — personal PII
beck-s,merit,PII/LEGAL,Merit/salary review — sensitive PII
beck-s,mg,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,mgmt_summary,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,moscoso__mike,PII/LEGAL,Named individual folder — personal PII
beck-s,mpr,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,murphy__ted,PII/LEGAL,Named individual folder — personal PII
beck-s,networks,INCLUDED,Networks operations — business
beck-s,new_hires,PII/LEGAL,New hire records — sensitive PII
beck-s,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
beck-s,office_of_the_chair,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,offsite,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,operating_rpts,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,org_announc____chrts,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,pearce__barry,PII/LEGAL,Named individual folder — personal PII
beck-s,perez__eugenio,PII/LEGAL,Named individual — PII
beck-s,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
beck-s,personnel_issues,PII/LEGAL,Personnel issues — sensitive PII
beck-s,piper__greg,PII/LEGAL,Named individual folder — personal PII
beck-s,prc,INCLUDED,Performance Review Committee — business correspondence
beck-s,press_releases,INCLUDED,Press releases — business
beck-s,price__brent,PII/LEGAL,Named individual folder — personal PII
beck-s,promotions,PII/LEGAL,Promotions records — sensitive PII
beck-s,prudency,PII/LEGAL,Regulatory prudency proceeding — litigation sensitive
beck-s,pulp_paper_lumber,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,rac,INCLUDED,Risk and compliance correspondence
beck-s,recruiting,PII/LEGAL,Recruiting correspondence — sensitive PII
beck-s,reeves__leslie,PII/LEGAL,Named individual folder — personal PII
beck-s,restricted_list,PII/LEGAL,Securities restricted trading list — regulatory sensitive
beck-s,resumes,PII/LEGAL,Third-party CVs — sensitive PII (third-party)
beck-s,sap,INCLUDED,SAP enterprise system — business
beck-s,schedule_c,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,scribner__james,PII/LEGAL,Named individual — PII
beck-s,sent,INCLUDED,Sent mail variant — standard business email
beck-s,sent_items,INCLUDED,Primary sent mail — standard business email
beck-s,shankman__jeff,PII/LEGAL,Named individual folder — personal PII
beck-s,showstopper_rpt,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,solmonson__mary,PII/LEGAL,Named individual folder — personal PII
beck-s,south_america,INCLUDED,South American operations
beck-s,steel,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,surveys,PII/LEGAL,HR surveys — sensitive PII
beck-s,systems_problems,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,unfinaled_invoices,PII/LEGAL,Invoice records — financially sensitive
beck-s,unify,INCLUDED,Unify system business correspondence
beck-s,unread_mail,SYSTEM,Lotus Notes unread-mail view — duplicates inbox
beck-s,var,INCLUDED,VAR risk analysis — business
beck-s,visions___values,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,white__stacey,PII/LEGAL,Named individual folder — personal PII
beck-s,wilson__shona,PII/LEGAL,Named individual folder — personal PII
beck-s,wire_signer_list,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,y2k,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
beck-s,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
benson-r,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
benson-r,calendar,CONTENT-MISMATCH,Calendar entries — not email
benson-r,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
benson-r,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
benson-r,inbox,INCLUDED,Primary received mail — standard business email
benson-r,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
benson-r,sent,INCLUDED,Sent mail variant — standard business email
benson-r,sent_items,INCLUDED,Primary sent mail — standard business email
benson-r,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
blair-l,acctg___2001_new_accctg_sys,PII/LEGAL,Accounting system records — financially sensitive
blair-l,acctg___customer_issues_on_billing,PII/LEGAL,Billing records — financially sensitive
blair-l,acctg___invoicing_info,PII/LEGAL,Invoicing records — financially sensitive
blair-l,acctg___measurement_issues,PII/LEGAL,Measurement/billing records — financially sensitive
blair-l,budget___2001,PII/LEGAL,Budget records — financially sensitive
blair-l,budget___2002,PII/LEGAL,Budget records — financially sensitive
blair-l,carlton_resolution,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,christmas_cards_list,PII/LEGAL,Personal contact list — PII
blair-l,contacts,CONTENT-MISMATCH,Address book — not email
blair-l,customer___alliant,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___ena,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___midam,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___oneok,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___reliant_retail_energy_minneapolis,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___uses,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,customer___virginia_power_dominion,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blair-l,daily_updates___12_1_01,INCLUDED,Daily operational updates
blair-l,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
blair-l,demarc_allocation,INCLUDED,Demarc allocation — operations
blair-l,donna,PII/LEGAL,Named individual folder — personal PII
blair-l,dra_info,INCLUDED,DRA information — regulatory
blair-l,expense_reports,PII/LEGAL,Personal expense reports — financial PII
blair-l,ibuyit_information,INCLUDED,iBuyIt information — business
blair-l,inbox,INCLUDED,Primary received mail — standard business email
blair-l,ipayit_information,INCLUDED,iPayIt system — business
blair-l,itinerary_off_duty,PII/LEGAL,Off-duty itinerary — personal PII
blair-l,meetings,INCLUDED,Meeting coordination correspondence
blair-l,meetings___general,INCLUDED,General meeting coordination
blair-l,meetings___nng_customer_mtg,INCLUDED,NNG customer meeting — business
blair-l,meetings___tw_customer,INCLUDED,TW customer meeting — business
blair-l,merger_with_dynegy,INCLUDED,Dynegy merger — business correspondence
blair-l,move,SYSTEM,Migration staging — system artefact
blair-l,nbpl_information,INCLUDED,NBPL information
blair-l,nng___sba,INCLUDED,NNG SBA agreement — business
blair-l,nng___sla_settlement,INCLUDED,NNG SLA settlement — business
blair-l,outbox,SYSTEM,Unsent drafts queue — not delivered email
blair-l,outlook_instructions,CONTENT-MISMATCH,Client instructions document — not email
blair-l,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
blair-l,personnel___advance_hire_assoc,PII/LEGAL,Personnel hiring records — sensitive PII
blair-l,personnel___ava_s_duties,PII/LEGAL,Named individual duties — sensitive PII
blair-l,personnel___paa,PII/LEGAL,Personnel records — sensitive PII
blair-l,personnel___prc_2001_mid_yr,PII/LEGAL,PRC records — sensitive HR data
blair-l,personnel___prc_2001_year_end,PII/LEGAL,PRC records — sensitive HR data
blair-l,personnel___promotions,PII/LEGAL,Promotions records — sensitive PII
blair-l,personnel___shift_differential,PII/LEGAL,Pay records — sensitive PII
blair-l,personnel___working_from_home,PII/LEGAL,HR policy records — sensitive PII
blair-l,presentations,INCLUDED,Business presentations
blair-l,print,CONTENT-MISMATCH,Print queue folder — not email
blair-l,reports___scheduled_quantity_report,INCLUDED,Scheduled quantity reports — operations
blair-l,sent_items,INCLUDED,Primary sent mail — standard business email
blair-l,shipper_list,INCLUDED,Pipeline shipper list — business
blair-l,storage___alloc_process,INCLUDED,Storage allocation process — operations
blair-l,storage___third_party_storage_info,INCLUDED,Third-party storage — operations
blair-l,training___2001,PII/LEGAL,Training records — HR sensitive
blair-l,training___business_objects,PII/LEGAL,Training records — HR sensitive
blair-l,tropical_storm_allison,INCLUDED,Tropical storm Allison — business contingency
blair-l,tw___citizens_agreement,INCLUDED,TW-Citizens agreement — business
blair-l,tw___imbalances___netting_trading,INCLUDED,TW imbalances trading
blair-l,tw___invoicing,INCLUDED,TW invoicing — business
blair-l,tw___marketing,INCLUDED,TW marketing — business
blair-l,tw___negotiated_rates_issues,INCLUDED,TW rate issues — regulatory
blair-l,tw___nwpl_budget,INCLUDED,TW NWPL budget — business
blair-l,tw___procedures,INCLUDED,TW procedures — business
blair-l,tw___socal_window_procedure,INCLUDED,TW SoCal procedure — business
blair-l,tw___transactional_requirements,INCLUDED,TW transactional requirements — business
blair-l,vacations_2001,PII/LEGAL,Personal vacation records — PII
blair-l,weekly_reports___2001,INCLUDED,Weekly reports — business
blair-l,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
brawner-s,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
brawner-s,contract,INCLUDED,Contract correspondence — business
brawner-s,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
brawner-s,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
brawner-s,inbox,INCLUDED,Primary received mail — standard business email
brawner-s,john_memos,INCLUDED,Business memos
brawner-s,misc,INCLUDED,Miscellaneous business correspondence
brawner-s,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
brawner-s,sent,INCLUDED,Sent mail variant — standard business email
brawner-s,sent_items,INCLUDED,Primary sent mail — standard business email
brawner-s,tasks,CONTENT-MISMATCH,Task list entries — not email
brawner-s,to_do,CONTENT-MISMATCH,To-do list — not email
brawner-s,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
buy-r,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
buy-r,calendar,CONTENT-MISMATCH,Calendar entries — not email
buy-r,connect_deletes,SYSTEM,Connector delete log — system artefact
buy-r,contacts,CONTENT-MISMATCH,Address book — not email
buy-r,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
buy-r,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
buy-r,helsinki,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
buy-r,inbox,INCLUDED,Primary received mail — standard business email
buy-r,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
buy-r,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
buy-r,sent,INCLUDED,Sent mail variant — standard business email
buy-r,sent_items,INCLUDED,Primary sent mail — standard business email
buy-r,tasks,CONTENT-MISMATCH,Task list entries — not email
buy-r,to_do,CONTENT-MISMATCH,To-do list — not email
buy-r,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
campbell-l,2000_goals_and_objectives,INCLUDED,Business goals and objectives
campbell-l,2001_goals_and_objectives,INCLUDED,Business goals and objectives
campbell-l,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
campbell-l,atoka_3_c_s,INCLUDED,Atoka compressor station — operations
campbell-l,bloomfield_c_s,INCLUDED,Bloomfield compressor station — operations
campbell-l,contacts,CONTENT-MISMATCH,Address book — not email
campbell-l,c_s_no__6_remediation,INCLUDED,Compressor station operations
campbell-l,c_s_no__9_remediation,INCLUDED,Compressor station operations
campbell-l,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
campbell-l,diamonds,INCLUDED,Business project codename
campbell-l,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
campbell-l,eott_due_diligence,INCLUDED,EOTT due diligence — business
campbell-l,eott_midland,INCLUDED,EOTT Midland operations
campbell-l,et,INCLUDED,ET counterparty — business
campbell-l,et_contacts,INCLUDED,ET contacts — business
campbell-l,euncie_texaco_remediation,INCLUDED,Environmental operations
campbell-l,gomez_remediation,INCLUDED,Environmental operations
campbell-l,g__robinson,INCLUDED,Counterparty correspondence
campbell-l,importantstuff,INCLUDED,Important business correspondence
campbell-l,inbox,INCLUDED,Primary received mail — standard business email
campbell-l,john_shafer,PII/LEGAL,Named individual folder — personal PII
campbell-l,la_plata_c_s,INCLUDED,Operations
campbell-l,lockridge_remediation,INCLUDED,Environmental operations
campbell-l,marc_phillips,PII/LEGAL,Named individual folder — personal PII
campbell-l,miscellaneous,INCLUDED,Miscellaneous business correspondence
campbell-l,ngo_s,INCLUDED,NGO relations — business/public affairs
campbell-l,njn,INCLUDED,NJN operations — business
campbell-l,north_crawar_remediation,INCLUDED,Environmental operations
campbell-l,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
campbell-l,npdes_stormwater,INCLUDED,Environmental compliance operations
campbell-l,nsps_for_turbines,INCLUDED,Environmental compliance operations
campbell-l,nyiso,INCLUDED,NYISO market operations
campbell-l,ocd,INCLUDED,OCD operations — business
campbell-l,pcb_modeling_study,PII/LEGAL,PCB environmental study — legally sensitive
campbell-l,pcb_s,INCLUDED,Environmental operations
campbell-l,personnal,PII/LEGAL,Personnel records (misspelled) — sensitive PII
campbell-l,pfg,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
campbell-l,pg_e_meetings_and_notes,INCLUDED,PG&E meetings — business
campbell-l,pg_e_pcbs,PII/LEGAL,PG&E PCB environmental litigation — legally sensitive
campbell-l,prc,INCLUDED,Performance Review Committee — business correspondence
campbell-l,public_water_systems,INCLUDED,Water systems environmental operations
campbell-l,puckett_plant,INCLUDED,Puckett plant operations
campbell-l,p_1_c_s_nov,INCLUDED,Compressor station operations
campbell-l,redrock_mainline_expansion,INCLUDED,Redrock pipeline expansion — business
campbell-l,rocky_mountain_elk_foundation,INCLUDED,Corporate community/charity correspondence
campbell-l,sent,INCLUDED,Sent mail variant — standard business email
campbell-l,sent_items,INCLUDED,Primary sent mail — standard business email
campbell-l,socal_pcb_s,INCLUDED,Environmental operations
campbell-l,southwest_environmental_team,INCLUDED,Environmental team operations
campbell-l,southwest_gas_pcb_s,INCLUDED,Environmental operations
campbell-l,sundevil_pipeline_project,INCLUDED,Sundvil pipeline project
campbell-l,weekly_activity_report,INCLUDED,Weekly activity reports
campbell-l,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
carson-m,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
carson-m,amerex,INCLUDED,Amerex broker — business correspondence
carson-m,broker_quotes,INCLUDED,Broker quote correspondence
carson-m,calendar,CONTENT-MISMATCH,Calendar entries — not email
carson-m,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
carson-m,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
carson-m,inbox,INCLUDED,Primary received mail — standard business email
carson-m,koch,INCLUDED,Koch Industries — counterparty correspondence
carson-m,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
carson-m,sent,INCLUDED,Sent mail variant — standard business email
carson-m,sent_items,INCLUDED,Primary sent mail — standard business email
