subfolder,users,decision,rationale
art_committee,1,INCLUDED,Art committee — corporate
articles,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ase,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
asset_management_documents,1,INCLUDED,Asset management — business
asset_sales,1,PII/LEGAL,Asset sale records — M&A legally sensitive
associate,1,PII/LEGAL,Associate programme records — sensitive PII
associate_prc,1,PII/LEGAL,Associate PRC records — sensitive HR data
associations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
atlantis,1,INCLUDED,Atlantis project — business
atoka_3_c_s,1,INCLUDED,Atoka compressor station — operations
attachments,1,CONTENT-MISMATCH,Attachments folder — not email text
audit,1,PII/LEGAL,Internal/external audit files — litigation sensitive
austin_energy,1,INCLUDED,Austin Energy counterparty — business
australia,3,INCLUDED,Australia operations business correspondence
australia_trading,1,INCLUDED,Australia trading — business
avaya,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
aviation,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
azurix,2,INCLUDED,Azurix subsidiary operations
bailey__s_,1,PII/LEGAL,Named individual folder — personal PII
bammel_stg,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bancone,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bankrupt,1,PII/LEGAL,Bankruptcy proceedings — litigation sensitive
bankruptcy,4,PII/LEGAL,Bankruptcy proceedings — litigation sensitive
basin_electric,1,INCLUDED,Basin Electric counterparty — business
bastos,1,PII/LEGAL,Named individual — PII
bear,1,PII/LEGAL,Ambiguous — too brief to confirm business context; excluded
belden,2,INCLUDED,Belden counterparty — business
benefits,3,PII/LEGAL,HR benefits records — sensitive PII
bergseiker,1,INCLUDED,Bergseiker counterparty — business
bernhardt,1,PII/LEGAL,Named individual — PII
bhp,1,INCLUDED,BHP counterparty — business
bids___offers,1,INCLUDED,Trading bids and offers — business
big_sandy___caithness,1,INCLUDED,Big Sandy/Caithness — business
bill,1,PII/LEGAL,Named individual (first name only) — personal PII
bill_williams_iii,1,PII/LEGAL,Named individual folder — personal PII
billing_issues,2,INCLUDED,Customer billing correspondence — business
bks,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
black_hills,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
blackbird,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bloomfield_c_s,1,INCLUDED,Bloomfield compressor station — operations
blotter,1,INCLUDED,Trading blotter operations
blue_dog,1,INCLUDED,Blue Dog project — business
bmc,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bmr,1,INCLUDED,BMR operations — business
boat,1,PII/LEGAL,Personal asset correspondence — PII
body_shop,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
book_administrators,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
book_issues,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
boomerang,1,INCLUDED,Boomerang project — business
boyd,1,PII/LEGAL,Named individual (surname) — personal PII
bpa,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
brazil,1,INCLUDED,Brazil operations
brazil___derivatives,1,INCLUDED,Brazil derivatives trading
brazil___esa_reports,1,INCLUDED,Brazil ESA reports — operations
brazil___holidays,1,INCLUDED,Brazil holiday schedule — operations
brazil___weekly_reports,1,INCLUDED,Brazil weekly reports — operations
brazil__champion,1,INCLUDED,Brazil Champion project — business
brazil_directory,1,INCLUDED,Brazil directory — operations
brazil_news,1,INCLUDED,Brazil market news — business
brazil_trading,1,INCLUDED,Brazil trading — business
brazil_trips,1,INCLUDED,Brazil business trips — operations
brazilian_arbitration,1,INCLUDED,Brazil arbitration — business
brazos_tenaska,1,INCLUDED,Brazos Tenaska — business
bridge,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bridgeline,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bristol_babcock,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
brm,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
broadband_services,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
broker_client,1,INCLUDED,Broker client — business
broker_quotes,1,INCLUDED,Broker quote correspondence
brokerage_accounts,1,PII/LEGAL,Personal financial accounts — sensitive PII
brokerage_agreements,1,INCLUDED,Brokerage agreements — business
budget,3,PII/LEGAL,Budget records — financially sensitive
budget___2001,1,PII/LEGAL,Budget records — financially sensitive
budget___2002,1,PII/LEGAL,Budget records — financially sensitive
bug,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
bush,1,INCLUDED,Bush administration public affairs
bush_administration,1,INCLUDED,Bush administration affairs — public affairs
bush_transition,2,INCLUDED,Bush administration transition — public affairs
business,1,INCLUDED,General business correspondence
business_council,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
business_objects,1,INCLUDED,Business Objects reporting — business
c,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
c_s_no__6_remediation,1,INCLUDED,Compressor station operations
c_s_no__9_remediation,1,INCLUDED,Compressor station operations
ca_data_sheet_checks,1,INCLUDED,CA data checks — operations
cabot,1,INCLUDED,Cabot counterparty — business
caem,2,INCLUDED,CAEM market
cal_articles,1,INCLUDED,California articles — business
caledonia,1,INCLUDED,Caledonia project — business
calendar,71,CONTENT-MISMATCH,Calendar entries — not email
california,7,INCLUDED,California energy market business correspondence
california___demand_buydown,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
california___emergency_authority,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
california___excess_profits_tax,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
california___working_group,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
california_campaign,1,INCLUDED,California campaign — public affairs
california_coverup,1,PII/LEGAL,California crisis coverup — litigation sensitive
california_crisis,1,INCLUDED,California energy crisis business correspondence
california_crisis__press,1,INCLUDED,California crisis press correspondence
california_humor,1,INCLUDED,California-themed humour — legitimate ham
california_issues,1,INCLUDED,California issues — business
california_legal_issues,1,PII/LEGAL,California legal matters — litigation sensitive
california_messages,1,INCLUDED,California messages — business
california_pg_e_bankruptcy,1,PII/LEGAL,PG&E bankruptcy — litigation sensitive
caliornia___investigations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
calp_hopewell,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
campaign_2000,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
canada,7,INCLUDED,Canada operations business correspondence
canada_business,1,INCLUDED,Canada business operations
capacity,1,INCLUDED,Pipeline capacity — business
capacity_release,1,INCLUDED,Capacity release — regulatory/business
capx,1,INCLUDED,Capital expenditure — business
carlton_resolution,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
carol_stclair,1,PII/LEGAL,Named individual folder — personal PII
carr,1,PII/LEGAL,Named individual — personal PII
cas,1,INCLUDED,CAS operations — business
catalytica,1,INCLUDED,Catalytica counterparty — business
causey__rick,1,PII/LEGAL,Named executive folder — sensitive PII
cdwr,1,INCLUDED,CDWR counterparty — business
cec_conference,1,INCLUDED,CEC conference — business
central,2,INCLUDED,Central operations
central_desk_class_regis_,1,PII/LEGAL,Training registration records — HR sensitive
cera,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ces,3,INCLUDED,CES business correspondence
ces_pending,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ces_resolved,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
cfee,1,INCLUDED,CFEE — business
cfp,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
cftc,5,PII/LEGAL,CFTC regulatory correspondence — litigation sensitive
charges,1,INCLUDED,Charges — business
chase_mah_stone,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
chicago,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
chinesewallspolicy,1,PII/LEGAL,Information barrier policy — regulatory sensitive
chris_stokley,1,INCLUDED,Counterparty/colleague correspondence
christmas_cards_list,1,PII/LEGAL,Personal contact list — PII
church,1,PII/LEGAL,Personal religious correspondence — PII
citibank,1,PII/LEGAL,Personal banking — sensitive PII
citizens,2,INCLUDED,Citizens counterparty
citizens_utilities,1,INCLUDED,Citizens Utilities counterparty — business
clean_fuels,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
cleburne_plant____cornhusker_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
click_at_home,1,INCLUDED,Click-at-home — business
clickathome,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
clickpaper,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
clinton_energy,1,INCLUDED,Clinton energy policy — public affairs
co_op_city,1,INCLUDED,Co-Op City counterparty — business
coal,3,INCLUDED,Coal trading correspondence
collateral_issues,1,PII/LEGAL,Collateral records — financially sensitive
colleen_koenig,1,PII/LEGAL,Named individual folder — personal PII
commercial_opportunities_task_force,1,INCLUDED,Business task force correspondence
commercialization,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
commoditylogic,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
communications,1,INCLUDED,Business communications
comp,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
company_options,1,INCLUDED,Company options — business
compaq,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
compensation,2,PII/LEGAL,Salary/compensation data — sensitive PII
compensation_and_benefits,1,PII/LEGAL,Salary and benefits data — sensitive PII
competition_messages,1,INCLUDED,Competition messages — business
compliments,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
compression_services,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
computer,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
computer_associates,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
computers,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
con_ed,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
conferences,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
confirm_desk,1,INCLUDED,Trading confirmations — business
confirms,1,INCLUDED,Trade confirmations — business
confirms___argentina,1,INCLUDED,Argentina confirmations — business
confirms___equity,1,INCLUDED,Equity confirmations — business
confirms___hickerson,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
confirms___interest_rate,1,INCLUDED,Interest rate confirmations — business
confirms___london_paper___pulp,1,INCLUDED,London paper/pulp confirmations
confirms___paper___pulp,1,INCLUDED,Paper/pulp confirmations
confirms___sample,1,INCLUDED,Sample confirmations — business
confirms___weather,1,INCLUDED,Weather confirmations — business
confirms_power,1,INCLUDED,Power trade confirmations — business
congrats,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
congratulations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
congress,1,INCLUDED,Congress — public affairs
connect_deletes,5,SYSTEM,Connector delete log — system artefact
consultants,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
consulting_ag,1,INCLUDED,Consulting agreement — business
contact_emp__list,1,CONTENT-MISMATCH,Employee contact list — PII risk
contact_list,1,CONTENT-MISMATCH,Contact directory — not email
contacts,46,CONTENT-MISMATCH,Address book — not email
continental,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
continental_airlines,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
contract,1,INCLUDED,Contract correspondence — business
contract_bids,1,INCLUDED,Contract bids — business
contracts,1,INCLUDED,Contracts correspondence — business
contributions,2,INCLUDED,Corporate contributions/public affairs
controls,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
coop_city,1,INCLUDED,Co-Op City — business
cooper_cameron,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
coral,1,INCLUDED,Coral counterparty — business
corestaff,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
cornhusker,2,INCLUDED,Cornhusker pipeline operations
corp_memos,1,INCLUDED,Corporate memos — business
corpgen,1,INCLUDED,Corp general — business
corporate,2,INCLUDED,Corporate correspondence
corporate_comm,1,INCLUDED,Corporate communications
corporate_communications,1,INCLUDED,Corporate communications
corporate_responsibility,1,INCLUDED,Corporate responsibility
correspondence,1,INCLUDED,General correspondence — business
cost_controls,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
councilforeignrelations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
counterparty_names,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
course_info,1,INCLUDED,Course information — business
cousino__lisa,1,PII/LEGAL,Named individual folder — personal PII
cousins,1,PII/LEGAL,Personal family correspondence — PII
cqg,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
credit,4,PII/LEGAL,Credit records — financially sensitive
credit_issues,2,INCLUDED,Credit issues — business
credit_rings,1,PII/LEGAL,Credit ring trading — legally sensitive
credit_union,1,PII/LEGAL,Personal banking — sensitive PII
credit_watch,1,PII/LEGAL,Credit watch list — financially sensitive
credit_watch_list,1,INCLUDED,Credit watch list — business
credit_worksheets,1,PII/LEGAL,Credit worksheets — financially sensitive
creditworthiness,1,INCLUDED,Creditworthiness — business
crestone,1,INCLUDED,Crestone counterparty — business
crisis,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
cross_border_task_force,1,INCLUDED,Cross-border task force
crude_and_products,1,INCLUDED,Crude and products trading
csu_fresno,1,INCLUDED,CSU Fresno — university relations
ct_corporation,1,INCLUDED,CT Corporation legal services — business
ctg_deals,1,INCLUDED,CTG deals — business
ctpy_contacts,1,INCLUDED,Counterparty contacts — business
cuiaba,2,INCLUDED,Cuiaba project — business
cuiba,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
current_estimate,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
curve_validation,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
curves,1,INCLUDED,Market curves — business
customer___alliant,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___ena,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___midam,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___oneok,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___reliant_retail_energy_minneapolis,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___uses,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer___virginia_power_dominion,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
customer_list,1,CONTENT-MISMATCH,Customer contact list — not email
cya,1,INCLUDED,CYA correspondence — business
dabhol,2,INCLUDED,Dabhol project — business
dabhol___cond__of_use,1,INCLUDED,Dabhol conditions of use — business
daily_balancing_report,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
daily_blessings,1,PII/LEGAL,Personal devotional — PII
daily_updates___12_1_01,1,INCLUDED,Daily operational updates
daishowa,1,INCLUDED,Daishowa counterparty — business
dana_s_extras,1,PII/LEGAL,Named individual extras — PII
data,2,INCLUDED,Business data correspondence
data_protection,1,PII/LEGAL,Data protection records — legally sensitive
datek,1,PII/LEGAL,Personal brokerage — sensitive PII
day_rate,1,INCLUDED,Day rate trading correspondence
deal_communication,1,INCLUDED,Deal communications — business
deals,1,INCLUDED,Business deal correspondence
default_service__opportunities,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
delainey__dave,1,PII/LEGAL,Named executive folder — sensitive PII
deleted_items,135,SYSTEM,Lotus Notes deleted-items bin — not authored email
dell,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
delmarva,1,INCLUDED,Delmarva Power counterparty
demand_information,1,INCLUDED,Demand information — business
demarc_allocation,1,INCLUDED,Demarc allocation — operations
democrats,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
deseret,1,INCLUDED,Deseret counterparty — business
desert_crossing_storage,1,INCLUDED,Desert Crossing storage — business
desert_power,1,INCLUDED,Desert Power counterparty — business
design,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
desk_matters,1,INCLUDED,Desk matters — operations
diamonds,1,INCLUDED,Business project codename
diana_scholtes,1,PII/LEGAL,Named individual — personal PII
direct_rpts,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
disclosure_rules,1,INCLUDED,Disclosure rules — regulatory
discussion_threads,93,SYSTEM,Lotus Notes threading index — duplicates inbox content
distributed_generation,1,INCLUDED,Energy distributed generation — business
dj_articles,1,INCLUDED,DJ articles — business
dod,1,INCLUDED,DOD counterparty — business
doe,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
doj__grynberg__quinque,1,PII/LEGAL,DOJ legal case — litigation sensitive
donna,1,PII/LEGAL,Named individual folder — personal PII
doorstep,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
dpc_lng,1,INCLUDED,DPC LNG project — business
dpr,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
dra,1,INCLUDED,DRA — regulatory
dra_info,1,INCLUDED,DRA information — regulatory
drafts,3,SYSTEM,Draft emails — not delivered
drafts__lotus_notes_,1,SYSTEM,Lotus Notes drafts — not delivered email
dsc,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
dublin,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
duffie,1,PII/LEGAL,Named individual — PII
duke,2,INCLUDED,Duke Energy counterparty
dynegy_transaction,1,INCLUDED,Dynegy transaction — business
e_mail,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
e_mail_bin,1,SYSTEM,Email bin/trash — deleted content
earnings_releases,1,INCLUDED,Earnings releases — business
east_coast_power,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
east_desk,1,INCLUDED,East desk trading operations
eastern_new_mexico_gas_co_,1,INCLUDED,Eastern New Mexico Gas counterparty
ebay,1,PII/LEGAL,Personal commerce — PII
ebr,1,INCLUDED,EBR operations
ebs,2,INCLUDED,EBS broadband operations
ebs_redeployment,1,PII/LEGAL,EBS redeployment — legally sensitive
eci,2,INCLUDED,ECI counterparty correspondence
eco___cond__of_use,1,INCLUDED,ECO conditions of use — business
ecoelectrica,1,INCLUDED,EcoElectrica — business
ecogas,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ecommerce,1,INCLUDED,E-commerce — business
econ_201,1,INCLUDED,Economics studies — business/research
economics,1,INCLUDED,Economics analysis — business
ecr,1,INCLUDED,ECR operations — business
ect_admin,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ed,1,PII/LEGAL,Named individual — personal PII
edson,1,PII/LEGAL,Named individual — PII
edwards_air_force,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
eecc,1,INCLUDED,EECC operations — business
eei_collateral_annex,1,INCLUDED,EEI collateral annex — business
ees,7,INCLUDED,Enron Energy Services operational correspondence
ees_matters,2,INCLUDED,EES business matters correspondence
ees_mgmt,1,INCLUDED,EES management — business
ees_neg_ctc,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
eesi_deleted_documents,1,SYSTEM,EESI deleted documents — system artefact
eesidealsgsaregion1,1,INCLUDED,EES deals GSA Region 1 — business
eesiisonewengland,1,INCLUDED,EES ISO New England — business
eesiisonewyork,1,INCLUDED,EES ISO New York — business
eesiisopjm,1,INCLUDED,EES ISO PJM — business
eesimarketstexas,1,INCLUDED,EES Texas markets — business
eesiphysicalpowerdelivery,1,INCLUDED,EES physical power delivery — business
eesirenewableenergy,1,INCLUDED,EES renewable energy — business
egm,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ei,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ei_execs,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
eim,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
eisb_ubr,1,INCLUDED,EISB UBR — business
el_paso,1,INCLUDED,El Paso counterparty — business
el_paso_electric,1,INCLUDED,El Paso Electric counterparty
electric_reports,1,INCLUDED,Electric reports — business
electricity_restructuring_advisory_group,1,INCLUDED,Advisory group — public policy
elizabeth,1,PII/LEGAL,Named individual (first name only) — personal PII
elizabeth_sager,1,PII/LEGAL,Named individual folder — personal PII
elpaso_pipeline,1,INCLUDED,El Paso pipeline counterparty
ema_s,1,INCLUDED,EMA operations — business
email,1,CONTENT-MISMATCH,"Generic folder named 'email' — ambiguous, excluded for safety"
emailaddresses,1,CONTENT-MISMATCH,Email address list — not email
emerson,1,INCLUDED,Emerson counterparty — business
emetra,1,INCLUDED,Emetra — business
ena_cal,1,INCLUDED,ENA California — business
energymarketplace,1,INCLUDED,Energy marketplace — business
engage_e_mails,1,INCLUDED,Engage system emails — business
enhome,1,INCLUDED,EnHome operations — business
enovate,1,INCLUDED,Enovate — business
enron,2,INCLUDED,General Enron correspondence
enron___general,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
enron_advisonry_council,1,INCLUDED,Advisory council — business
enron_bike_club,1,INCLUDED,Enron Bike Club — corporate community
enron_communications,1,INCLUDED,Enron communications — business
enron_corp__board,1,INCLUDED,Enron board correspondence
enron_credit,1,INCLUDED,Enron Credit — business
enron_dynegy,1,PII/LEGAL,Dynegy merger — M&A legally sensitive
enron_europe,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
enron_global_markets,1,INCLUDED,Enron Global Markets — business
